ZoneNumber,LocationAddress,Point,ParkingType,NoOfSpaces,MeterID,PermitType
13801-03,WW MALL 160 WW ROAD,"33° 21' 52'' N, 94° 7' 11.136'' W",OFFSTREET,10,256487,Residential Contract Permit
12244-02,MICHAELS 350 WW ROAD,"33° 21' 52.092'' N, 94° 7' 11.1'' W",OFFSTREET,10,475866,Residential Contract Permit
12546-01,BEST BUY 150 WW ROAD,"41° 4' 41.376'' N, 86° 53' 35.52'' W",OFFSTREET,10,998547,Residential Contract Permit
13546-12,PARTY EXP 610 BROADHOLLOW RD,"40° 45' 36.288'' N, 73° 25' 23.88'' W",OFFSTREET,10,654487,Residential Contract Permit
13801-03,MELVILLE MALL 830-890 WW ROAD,"41° 16' 35.724'' N, 76° 50' 47.076'' W",OFFSTREET,10,754896,Residential Contract Permit
12244-02,PEPPERTREEE COMMONS 6401 JERICHO TPKE,"35° 22' 42.42'' N, 80° 46' 59.196'' W",OFFSTREET,10,,Residential Contract Permit
15544-09,SUFFOLK JEWISH 74 HAUPPAUGE ROAD,"42° 17' 52.08'' N, 71° 5' 29.688'' W",OFFSTREET,10,256781,Residential Contract Permit
17251-07,COMMACK REALTY 169 COMMACK ROAD,"37° 3' 18.54'' N, 84° 37' 24.204'' W",OFFSTREET,10,178934,Residential Contract Permit
15525-21,WEST CARVER STREET,"40° 52' 8.328'' N, 73° 25' 41.484'' W",OFFSTREET,10,764531,Residential Contract Permit
15444-07,ALLEY BETW NEW STREET AND GREEN STREET,"47° 0' 20.916'' N, 65° 33' 54.396'' W",OFFSTREET,10,387645,Residential Contract Permit
21509-31,840 WW ROAD MELVILLE,"33° 21' 52.092'' N, 94° 7' 11.064'' W",OFFSTREET,10,917864,Residential Contract Permit
21539-09,160 WW ROAD HUNTINGTON,"33° 21' 52.092'' N, 94° 7' 11.136'' W",OFFSTREET,10,285765,Residential Contract Permit
34743-27,350 WW ROAD HUNTINGTON,"40° 15' 31.724'' N, 73° 45' 32.125'' W",OFFSTREET,10,167894,Residential Contract Permit
51237-23,124 JERICHO TPKE HUNTINGTON,"33° 21' 52.092'' N, 94° 7' 11.1'' W",OFFSTREET,10,368129,Residential Contract Permit
41208-12,839 NEW  YORK AVENUE HUNTINGTON,"40° 51' 31.86'' N, 73° 25' 10.164'' W",ONSTREET,10,,Residential Contract Permit
54213-35,683 OLD COUNTRY ROAD HUNTINGTON,"40° 49' 5.376'' N, 73° 22' 31.512'' W",ONSTREET,10,952731,Residential Contract Permit
71567-23,150 WW ROAD HUNTINGTON,"41° 4' 41.376'' N, 86° 53' 35.52'' W",ONSTREET,10,654319,Residential Contract Permit
37543-21,2 EAST JERICHO TPKE HUNTINGTON,"40° 49' 39.936'' N, 73° 24' 31.14'' W",ONSTREET,10,482762,Residential Contract Permit
83276-16,275 JERICHO TURNPIKE HUNTINGTON,"40° 49' 45.408'' N, 73° 25' 10.596'' W",ONSTREET,10,813762,PCS Monthly Permit
29476-71,5025 JERICHO TPKE COMMACK,"40° 50' 32.748'' N, 73° 18' 42.624'' W",ONSTREET,10,728529,PCS Monthly Permit
15289-56,660 PARK AVENUE HUNTINGTON,"40° 51' 59.724'' N, 73° 24' 13.284'' W",ONSTREET,10,403164,PCS Monthly Permit
43871-37,5020-5032 JERICHO TPKE COMMACK,"40° 50' 24'' N, 73° 18' 43.596'' W",ONSTREET,10,173829,PCS Monthly Permit
31629-27,HTH 24 EAST JERICHO TPKE,"40° 49' 41.844'' N, 73° 24' 30.276'' W",ONSTREET,10,283761,PCS Monthly Permit
61542-29,1920-1966 JERICHO TPKE EAST NORTHPORT,"40° 49' 57.936'' N, 73° 23' 25.728'' W",ONSTREET,10,792653,PCS Monthly Permit
71537-57,SOUTH HUNTINGTON LIBRARY,"34° 7' 33.456'' N, 118° 6' 36.54'' W",ONSTREET,10,204891,PCS Monthly Permit